Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
d2987e8a-8598-25d2-e7d9-4c65044f840f,2021-03-01,,999-18-8604,,,,Titus37,Louie190,Smitham825,,,,white,nonhispanic,M,Toulouse  Occitanie  FR,415 Jakubowski Trailer Unit 40,Houston,Texas,Montgomery County,48201,77010,29.69422790332208,-95.79784405373464,11946.21,0.00,46046
8fef942c-57ea-e5c0-4126-7a215ca24cde,2003-06-30,,999-11-5889,S99927905,X60030710X,Mr.,Gilbert263,Warner493,Maggio310,,,,other,nonhispanic,M,Irving  Texas  US,607 Keeling Drive Apt 1,Houston,Texas,Montgomery County,48201,77011,29.5360204991396,-95.10334681773402,59372.37,15046.08,147737
676e7b68-5bbb-f0c1-c28d-b60545ef6799,2003-09-10,,999-88-9626,S99914999,X23641933X,Mr.,Jackie93,,Lueilwitz711,,,,white,nonhispanic,M,Edinburg  Texas  US,906 Prosacco Grove Suite 62,Houston,Texas,Montgomery County,48201,77076,29.77492374064592,-95.65098451457148,70623.61,10593.20,89209
6f074aec-6f4d-2d96-b35a-ccd71bd5867e,1973-04-13,,999-11-4301,S99931487,X33758594X,Mrs.,Denisse335,Jule420,Walsh511,,Schumm995,M,white,nonhispanic,F,San Antonio  Texas  US,982 Stehr Grove Unit 45,Houston,Texas,Montgomery County,48201,77081,29.61965204780655,-95.24336127133368,398036.67,240359.03,19991
64abe831-b4bd-9f37-1a7b-548aae7051c4,2009-01-05,,999-75-6023,S99943031,,,Carlota980,Marjory382,McClure239,,,,hawaiian,nonhispanic,F,Lackland AFB  Texas  US,394 Hermann Village,Houston,Texas,Montgomery County,48201,77026,30.019352364452523,-95.26506357064726,22867.39,75276.34,26581
b18fd629-f300-3747-6fad-3a8a21bbaf58,1966-04-22,,999-43-2950,S99918632,X78545286X,Mrs.,Elvira561,Veta780,Stiedemann542,,Boyle917,D,white,nonhispanic,F,Fort Worth  Texas  US,487 Gleichner Walk,Houston,Texas,Montgomery County,48201,77082,29.995135151912354,-95.4649547300881,178094.29,829740.45,15888
4b66ed71-3922-62ba-b7fd-c2ca18c7cb60,1950-09-02,,999-44-7222,S99943081,X33295416X,Ms.,Candelaria844,,Crona259,,,S,white,nonhispanic,F,Rockwall  Texas  US,485 Parisian Overpass Unit 10,Houston,Texas,Montgomery County,48201,77083,29.615419716357472,-95.63925367738356,321423.09,96568.45,71397
a12b31e3-7591-0656-da0e-489340d69812,2007-04-13,,999-87-7760,S99922856,,Ms.,Carmela47,Shoshana283,Witting912,,,,white,nonhispanic,F,Corpus Christi  Texas  US,674 Funk Passage Suite 87,Houston,Texas,Montgomery County,48157,77489,29.91992836968833,-95.40913173093244,41559.36,46973.00,54415
28c1291d-2e46-82fa-ba3d-d4d9ec6b1542,1974-08-11,,999-11-9929,S99924656,X52929689X,Mrs.,Magdalena964,,Lara964,,Amaya149,D,white,hispanic,F,Puebla  Puebla  MX,146 Mann Parade,Houston,Texas,Montgomery County,48201,77201,29.932143890757263,-95.29016521003938,1419681.85,572784.06,70704
fa340e7c-852e-3085-b54b-8d9a839a2b8a,1924-09-13,,999-90-4544,S99982952,X87899926X,Ms.,Romaine793,,Tillman293,,,S,black,nonhispanic,F,Fort Worth  Texas  US,581 Stanton Common Apt 42,Houston,Texas,Montgomery County,48201,77076,29.82119878473948,-95.55155199865989,2535420.01,2023470.18,1502
